Course Code,Description,Start Date,End Date,Start Time,End Time,Day of Week,Hours,Weeks,Total Hours,Programme Area,Study Location,Address,Postcode,Latitude,Longitude
AC00001,Drawing & Painting - Improvers,17/09/2019,10/12/2019,13:00:00,15:00:00,Tuesday,2,12,24,"(AC) Art, Crafts and Sewing",Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
AC00002,Drawing & Painting - Improvers,19/09/2019,12/12/2019,18:30:00,20:30:00,Thursday,2,12,24,"(AC) Art, Crafts and Sewing",Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
AC00003,Painting (Mixed Media) - Improvers,18/09/2019,11/12/2019,13:00:00,15:00:00,Wednesday,2,12,24,"(AC) Art, Crafts and Sewing",Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
AC00004,Painting (Oils) - Advanced,19/09/2019,12/12/2019,13:00:00,15:00:00,Thursday,2,12,24,"(AC) Art, Crafts and Sewing",Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
AC00005,Painting (Watercolours) - Improvers,20/09/2019,13/12/2019,10:00:00,12:00:00,Friday,2,12,24,"(AC) Art, Crafts and Sewing",Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
AC00006,Sewing (Back to Basics) - Beginners,18/09/2019,11/12/2019,09:30:00,12:00:00,Wednesday,2.5,12,30,"(AC) Art, Crafts and Sewing",Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
AC00007,Sewing (Machine Skills) - Improvers,19/09/2019,12/12/2019,18:00:00,20:30:00,Thursday,2.5,12,30,"(AC) Art, Crafts and Sewing",Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
AC00008,Sewing (Fashionable & Modern Clothes) - Advanced,19/09/2019,12/12/2019,09:30:00,12:00:00,Thursday,2.5,12,30,"(AC) Art, Crafts and Sewing",Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
CC00002,Bridging English,11/09/2019,04/12/2019,10:00:00,12:00:00,Wednesday,2,12,24,(ENG) English,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
CC00010,GCSE English,12/09/2019,04/06/2020,Various,Various,Thursday,3,32,96,(ENG) English,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
CC00013,Maths (for learners with Dyslexia and Dyscalculia),10/09/2019,28/01/2020,13:00:00,15:30:00,Tuesday,2.5,18,45,(MAT) Maths,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
CC00020,GCSE Maths,10/09/2019,02/06/2020,Various,Various,Tuesday,3,32,96,(MAT) Maths,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
CC00027,Driving Test Theory Preparation/ESOL,01/08/2019,29/08/2019,09:30:00,12:00:00,Thursday,2.5,5,12.5,(ESL) ESOL,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
CZ00001,Get Ready for Life in the UK Test,19/09/2019,12/12/2019,18:00:00,20:30:00,Thursday,2.5,12,30,(CZ) Citizenship,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
EM00001,Computers for Job Search,06/11/2019,11/12/2019,10:00:00,12:30:00,Wednesday,2.5,6,15,(EMP) Employability,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
EM00002,Universal Credit & IT Skills,20/09/2019,25/10/2019,10:00:00,12:30:00,Friday,2.5,6,15,(EMP) Employability,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
EM00003,Universal Credit & IT Skills,08/11/2019,13/12/2019,10:00:00,12:30:00,Friday,2.5,6,15,(EMP) Employability,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
EM00004,Employability Skills (L1 Award),30/09/2019,09/12/2019,09:30:00,15:00:00,Monday,5,10,50,(EMP) Employability,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
EN00001,Afternoon Tea,19/10/2019,19/10/2019,09:30:00,15:00:00,Saturday,5.5,1,5.5,(CKRY) Cookery,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
EN00004,'Tis the Season,07/12/2019,07/12/2019,09:30:00,15:00:00,Saturday,5.5,1,5.5,(CKRY) Cookery,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
EN00006,Makeup Masterclass (Taster),11/09/2019,11/09/2019,18:00:00,20:30:00,Wednesday,2.5,1,2.5,(BHT) Beauty and Holistic Therapies,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
EN00007,Makeup Masterclass (Taster),13/09/2019,13/09/2019,10:00:00,12:30:00,Friday,2.5,1,2.5,(BHT) Beauty and Holistic Therapies,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
EN00008,Makeup Masterclass (Taster),14/09/2019,14/09/2019,10:00:00,12:30:00,Saturday,2.5,1,2.5,(BHT) Beauty and Holistic Therapies,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
EN00009,Family History - Beginners,08/11/2019,13/12/2019,10:00:00,12:00:00,Friday,2,6,12,(FAM) Family History,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
EN00010,Cake Decorating - Improvers,06/11/2019,06/12/2019,18:30:00,20:30:00,Wednesday,2,6,12,(CKRY) Cookery,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
EN00011,Family History - Taster,19/10/2019,19/10/2019,10:00:00,16:00:00,Saturday,6,1,6,(FAM) Family History,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
EN00012,Makeup Skills - Beginners,20/09/2019,25/10/2019,10:00:00,12:30:00,Friday,2.5,6,15,(BHT) Beauty and Holistic Therapies,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
IT00001,Computing (Beginners),17/09/2019,10/12/2019,13:30:00,15:30:00,Tuesday,2,12,24,(ITB) Digital Resilience (Non-accredited),Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
IT00002,Microsoft Office Skills (Improvers),18/09/2019,23/10/2019,13:30:00,15:30:00,Wednesday,2,6,12,(ITB) Digital Resilience (Non-accredited),Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
IT00003,Intro to Using PowerPoint Presentations (Beginners),06/11/2019,11/12/2019,13:30:00,15:30:00,Wednesday,2,6,12,(ITB) Digital Resilience (Non-accredited),Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
IT00004,Excel - Spreadsheet Software L1,10/09/2019,03/12/2019,10:00:00,12:30:00,Tuesday,2.5,12,30,(ITQ) Digital Based Qualifications,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
IT00005,Word Processing L1,11/09/2019,04/12/2019,10:00:00,12:30:00,Wednesday,2.5,12,30,(ITQ) Digital Based Qualifications,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
LD00001,"Healthy Lives, Healthy Minds",16/09/2019,09/12/2019,10:00:00,12:00:00,Monday,2,12,24,(LD) Courses for Adults with Learning Difficulties,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
LD00002,Computing for Beginners,16/09/2019,11/12/2019,10:00:00,12:00:00,Monday,2,12,24,(LD) Courses for Adults with Learning Difficulties,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
LD00003,Online Computing and the Internet for Beginners,16/09/2019,09/12/2019,13:00:00,15:00:00,Monday,2,12,24,(LD) Courses for Adults with Learning Difficulties,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
LD00004,A Healthy Approach to Cooking and Eating,19/09/2019,12/12/2019,09:30:00,12:30:00,Thursday,3,12,36,(LD) Courses for Adults with Learning Difficulties,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
LD00005,Famous Artists and Their Paintings,19/09/2019,12/12/2019,10:00:00,12:30:00,Thursday,2.5,12,30,(LD) Courses for Adults with Learning Difficulties,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
LD00006,Illustration,17/09/2019,10/12/2019,10:00:00,12:30:00,Tuesday,2.5,12,30,(LD) Courses for Adults with Learning Difficulties,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
LD00007,Making a Clock,18/09/2019,11/12/2019,10:00:00,12:30:00,Wednesday,2.5,12,30,(LD) Courses for Adults with Learning Difficulties,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
LD00008,Noisy Art,18/09/2019,11/12/2019,13:30:00,16:00:00,Thursday,2.5,12,30,(LD) Courses for Adults with Learning Difficulties,Calderdale Music Trust,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
LD00009,Seasonal Gardening,18/09/2019,11/12/2019,13:30:00,16:00:00,Wednesday,2.5,12,30,(LD) Courses for Adults with Learning Difficulties,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
LD00010,Therapeutic Art,20/09/2019,13/12/2019,13:30:00,16:00:00,Friday,2.5,12,30,(LD) Courses for Adults with Learning Difficulties,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
LD00011,Art - Five Day Offer,16/09/2019,09/12/2019,13:30:00,16:00:00,Monday,2.5,12,30,(LD) Courses for Adults with Learning Difficulties,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
LD00012,Art - Five Day Offer,20/09/2019,13/12/2019,10:00:00,12:30:00,Friday,2.5,12,30,(LD) Courses for Adults with Learning Difficulties,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
LD00013,A Healthy Approach to Baking,17/09/2019,10/12/2019,09:30:00,12:30:00,Tuesday,3,12,36,(LD) Courses for Adults with Learning Difficulties,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
LD00014,A Healthy Approach to Cooking,17/09/2019,10/12/2019,13:30:00,15:30:00,Tuesday,2,12,24,(LD) Courses for Adults with Learning Difficulties,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
LD00015,Healthy Winter Cookery,18/09/2019,11/12/2019,14:30:00,17:00:00,Wednesday,2.5,12,30,(LD) Courses for Adults with Learning Difficulties,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
LD00016,English (LD),18/09/2019,11/12/2019,10:00:00,12:00:00,Wednesday,2,12,24,(LD) Courses for Adults with Learning Difficulties,Brighouse library,"Halifax Riad, Brighouse",HD6 2AF,53.70397,-1.78604
LD00017,Maths (LD),18/09/2019,11/12/2019,13:00:00,15:00:00,Wednesday,2,12,24,(LD) Courses for Adults with Learning Difficulties,Brighouse library,"Halifax Riad, Brighouse",HD6 2AF,53.70397,-1.78604
LD00018,English (LD),19/09/2019,19/12/2019,13:30:00,15:30:00,Thursday,2,12,24,(LD) Courses for Adults with Learning Difficulties,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
LD00020,Drama,18/09/2019,11/12/2019,10:00:00,12:30:00,Wednesday,2.5,12,30,(LD) Courses for Adults with Learning Difficulties,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
LE00001,Bridge for Beginners,19/09/2019,09/04/2020,19:00:00,21:30:00,Thursday,2.5,30,75,(LEI) Leisure,Halifax Bridge Club,"44 Prescott St, Halifax",HX1 2QW,53.71908,-1.86115
LE00002,Bridge for Beginners,11/09/2019,01/04/2020,19:00:00,21:00:00,Wednesday,2,30,60,(LEI) Leisure,Brighouse Bridge Club,"The Assembly Rooms, 64 Briggate, Brighouse",HD6 1EF,53.70098,-1.78231
ML00001,Latin (Specialist Learning Group),20/09/2019,29/11/2019,10:00:00,12:00:00,Friday,2,10,20,(MFL) Languages,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
ML00002,Italian (Taster),12/09/2019,12/09/2019,10:00:00,12:00:00,Thursday,2,1,2,(MFL) Languages,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
ML00003,Italian (Beginners - continuation),17/09/2019,04/02/2020,10:00:00,12:00:00,Tuesday,2,18,36,(MFL) Languages,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
ML00004,Italian (Beginners),17/09/2019,04/02/2020,13:00:00,15:00:00,Tuesday,2,18,36,(MFL) Languages,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
ML00005,Italian (Improvers),16/09/2019,03/02/2020,10:00:00,12:00:00,Monday,2,18,36,(MFL) Languages,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
ML00006,Italian (Advanced),19/09/2019,06/02/2020,10:00:00,12:00:00,Thursday,2,18,36,(MFL) Languages,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
ML00007,Spanish (Beginners),16/09/2019,21/10/2019,10:00:00,12:00:00,Monday,2,6,12,(MFL) Languages,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
ML00008,Spanish (Beginners),18/09/2019,11/12/2019,18:30:00,20:30:00,Wednesday,2,12,24,(MFL) Languages,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
ML00009,Spanish (Beginners),19/09/2019,12/12/2019,13:00:00,15:00:00,Thursday,2,12,24,(MFL) Languages,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
ML00010,Spanish (Beginners),19/09/2019,12/12/2019,18:30:00,20:30:00,Thursday,2,12,24,(MFL) Languages,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
ML00011,Spanish (Improvers),17/09/2019,10/12/2019,18:30:00,20:30:00,Tuesday,2,12,24,(MFL) Languages,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
ML00012,Spanish (Improvers),18/09/2019,11/12/2019,10:00:00,12:00:00,Wednesday,2,12,24,(MFL) Languages,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
ML00013,Spanish (Advanced),18/09/2019,11/12/2019,13:00:00,15:00:00,Wednesday,2,12,24,(MFL) Languages,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
ML00014,Spanish (Specialist Learning Group),16/09/2019,25/11/2019,13:00:00,15:00:00,Monday,2,10,20,(MFL) Languages,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
ML00015,Spanish (Specialist Learning Group),17/09/2019,26/11/2019,13:00:00,15:00:00,Tuesday,2,10,20,(MFL) Languages,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
P00001,English Functional Skills (TODMORDEN),12/09/2019,30/01/2020,10:00:00,12:30:00,Thursday,2.5,18,45,(ENG) English,Todmorden Community College,"44 Burnley Rd, Todmorden",OL14 7BX,53.71587,-2.09817
P00002,Maths Functional Skills (TODMORDEN),13/09/2019,31/01/2020,10:00:00,12:30:00,Thursday,2.5,18,45,(MAT) Maths,Todmorden Community College,"44 Burnley Rd, Todmorden",OL14 7BX,53.71587,-2.09817
P00003,English Functional Skills (HEATH),09/09/2019,31/01/2020,Various,Various,Various,2.5,18,45,(ENG) English,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
P00004,Maths Functional Skills (HEATH),09/09/2019,31/01/2020,Various,Various,Various,2.5,18,45,(MAT) Maths,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
P00005,Maths Functional Skills - Fast-Track (HEATH),19/09/2019,21/11/2019,09:30:00,15:00:00,Thursday,5,9,45,(MAT) Maths,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
P00006,English Functional Skills - Fast-Track (HEATH),17/09/2019,19/11/2019,09:30:00,15:00:00,Tuesday,5,9,45,(ENG) English,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
P00007,English Functional Skills (MOUNT PELLON),11/09/2019,29/01/2020,09:30:00,12:00:00,Wednesday,2.5,18,45,(ENG) English,Mount Pellon Academy,"46 Blackwood Grove, Halifax",HX1 4RH,53.72695,-1.88438
PP00001,Delivering Outstanding Customer Service (Quality Assured),18/09/2019,23/10/2019,13:00:00,16:00:00,Wednesday,3,6,18,(EMP) Employability,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
PP00002,Breastfeeding Peer Support Training (Locala Community Partnership),10/09/2019,26/11/2019,18:30:00,20:30:00,Tuesday,2,11,22,(TRG) Training Other,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
SE00001,Security,21/10/2019,25/10/2019,09:00:00,17:00:00,Monday-Friday,40,1,40,(SEC) Security,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
SE00002,Security,02/12/2019,06/12/2019,09:00:00,17:00:00,Monday-Friday,40,1,40,(SEC) Security,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
WP00001,Dyslexia Awareness,18/10/2019,25/10/2019,09:30:00,15:00:00,Friday,5,2,10,(TRG) Training Other,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
WP00002,Food Safety,09/10/2019,16/10/2019,09:30:00,15:00:00,Wednesday,5,2,10,(FSA) Food Safety,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
WP00003,Food Safety,20/11/2019,27/11/2019,09:30:00,15:00:00,Wednesday,5,2,10,(FSA) Food Safety,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
WP00004,Paediatric First Aid,07/09/2019,14/09/2019,09:30:00,16:00:00,Saturday,6,2,12,(FAT) First Aid Training,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
WP00005,Emergency First Aid at Work,09/09/2019,09/09/2019,09:30:00,16:00:00,Monday,6,1,6,(FAT) First Aid Training,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
WP00006,Paediatric First Aid,24/09/2019,01/10/2019,09:30:00,16:00:00,Tuesday,6,2,12,(FAT) First Aid Training,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
WP00007,Paediatric First Aid,03/10/2019,10/10/2019,09:30:00,16:00:00,Thursday,6,2,12,(FAT) First Aid Training,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
WP00008,Emergency First Aid at Work,07/10/2019,07/10/2019,09:30:00,16:00:00,Monday,6,1,6,(FAT) First Aid Training,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
WP00009,Paediatric First Aid,12/10/2019,19/10/2019,09:30:00,16:00:00,Saturday,6,2,12,(FAT) First Aid Training,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
WP00010,Emergency First Aid at Work,15/10/2019,15/10/2019,09:30:00,16:00:00,Tuesday,6,1,6,(FAT) First Aid Training,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
WP00011,First Aid at Work (Requalification),04/11/2019,11/11/2019,09:30:00,16:00:00,Monday,6,2,12,(FAT) First Aid Training,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
WP00012,Paediatric First Aid,05/11/2019,12/11/2019,09:30:00,16:00:00,Tuesday,6,2,12,(FAT) First Aid Training,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
WP00013,Paediatric First Aid,09/11/2019,16/11/2019,09:30:00,16:00:00,Saturday,6,2,12,(FAT) First Aid Training,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
WP00014,Paediatric First Aid,19/11/2019,26/11/2019,09:30:00,16:00:00,Tuesday,6,2,12,(FAT) First Aid Training,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
WP00015,Paediatric First Aid,21/11/2019,28/11/2019,09:30:00,16:00:00,Thursday,6,2,12,(FAT) First Aid Training,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
WP00016,Paediatric First Aid,07/12/2019,14/12/2019,09:30:00,16:00:00,Saturday,6,2,12,(FAT) First Aid Training,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
WP00017,Emergency First Aid at Work,09/12/2019,09/12/2019,09:30:00,16:00:00,Monday,6,1,6,(FAT) First Aid Training,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307
