Course Code,Description,Start Date,End Date,Start Time,End Time,Day of Week,Hours,Weeks,Total Hours,Programme Area,Study Location,Address,Postcode,Latitude,Longitude,Level,Venue,Full Fee,Early Enrolment Fee,Year,Month
AC00001,Drawing & Painting - Improvers,17/09/2019,10/12/2019,13:00:00,15:00:00,Tuesday,2,12,24,"(AC) Art, Crafts and Sewing",Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
AC00002,Drawing & Painting - Improvers,19/09/2019,12/12/2019,18:30:00,20:30:00,Thursday,2,12,24,"(AC) Art, Crafts and Sewing",Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
AC00003,Painting (Mixed Media) - Improvers,18/09/2019,11/12/2019,13:00:00,15:00:00,Wednesday,2,12,24,"(AC) Art, Crafts and Sewing",Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
AC00004,Painting (Oils) - Advanced,19/09/2019,12/12/2019,13:00:00,15:00:00,Thursday,2,12,24,"(AC) Art, Crafts and Sewing",Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
AC00005,Painting (Watercolours) - Improvers,20/09/2019,13/12/2019,10:00:00,12:00:00,Friday,2,12,24,"(AC) Art, Crafts and Sewing",Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
AC00006,Sewing (Back to Basics) - Beginners,18/09/2019,11/12/2019,09:30:00,12:00:00,Wednesday,2.5,12,30,"(AC) Art, Crafts and Sewing",Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
AC00007,Sewing (Machine Skills) - Improvers,19/09/2019,12/12/2019,18:00:00,20:30:00,Thursday,2.5,12,30,"(AC) Art, Crafts and Sewing",Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
AC00008,Sewing (Fashionable & Modern Clothes) - Advanced,19/09/2019,12/12/2019,09:30:00,12:00:00,Thursday,2.5,12,30,"(AC) Art, Crafts and Sewing",Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
CC00002,Bridging English,09/11/2019,04/12/2019,10:00:00,12:00:00,Wednesday,2,12,24,(ENG) English,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,November
CC00013,Maths (for learners with Dyslexia and Dyscalculia),09/10/2019,28/01/2020,13:00:00,15:30:00,Tuesday,2.5,18,45,(MAT) Maths,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,October
CC00027,Driving Test Theory Preparation/ESOL,08/01/2019,29/08/2019,09:30:00,12:00:00,Thursday,2.5,5,12.5,(ESL) ESOL,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,January
CZ00001,Get Ready for Life in the UK Test,19/09/2019,12/12/2019,18:00:00,20:30:00,Thursday,2.5,12,30,(CZ) Citizenship,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
EM00001,Computers for Job Search,11/06/2019,11/12/2019,10:00:00,12:30:00,Wednesday,2.5,6,15,(EMP) Employability,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,June
EM00002,Universal Credit & IT Skills,20/09/2019,25/10/2019,10:00:00,12:30:00,Friday,2.5,6,15,(EMP) Employability,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
EM00003,Universal Credit & IT Skills,11/08/2019,13/12/2019,10:00:00,12:30:00,Friday,2.5,6,15,(EMP) Employability,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,August
EM00004,Employability Skills (L1 Award),30/09/2019,09/12/2019,09:30:00,15:00:00,Monday,5,10,50,(EMP) Employability,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
EN00001,Afternoon Tea,19/10/2019,19/10/2019,09:30:00,15:00:00,Saturday,5.5,1,5.5,(CKRY) Cookery,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,October
EN00004,'Tis the Season,12/07/2019,07/12/2019,09:30:00,15:00:00,Saturday,5.5,1,5.5,(CKRY) Cookery,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,July
EN00006,Makeup Masterclass (Taster),09/11/2019,11/09/2019,18:00:00,20:30:00,Wednesday,2.5,1,2.5,(BHT) Beauty and Holistic Therapies,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,November
EN00007,Makeup Masterclass (Taster),13/09/2019,13/09/2019,10:00:00,12:30:00,Friday,2.5,1,2.5,(BHT) Beauty and Holistic Therapies,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
EN00008,Makeup Masterclass (Taster),14/09/2019,14/09/2019,10:00:00,12:30:00,Saturday,2.5,1,2.5,(BHT) Beauty and Holistic Therapies,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
EN00009,Family History - Beginners,11/08/2019,13/12/2019,10:00:00,12:00:00,Friday,2,6,12,(FAM) Family History,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,August
EN00010,Cake Decorating - Improvers,11/06/2019,06/12/2019,18:30:00,20:30:00,Wednesday,2,6,12,(CKRY) Cookery,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,June
EN00011,Family History - Taster,19/10/2019,19/10/2019,10:00:00,16:00:00,Saturday,6,1,6,(FAM) Family History,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,October
EN00012,Makeup Skills - Beginners,20/09/2019,25/10/2019,10:00:00,12:30:00,Friday,2.5,6,15,(BHT) Beauty and Holistic Therapies,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
IT00001,Computing (Beginners),17/09/2019,10/12/2019,13:30:00,15:30:00,Tuesday,2,12,24,(ITB) Digital Resilience (Non-accredited),Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
IT00002,Microsoft Office Skills (Improvers),18/09/2019,23/10/2019,13:30:00,15:30:00,Wednesday,2,6,12,(ITB) Digital Resilience (Non-accredited),Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
IT00003,Intro to Using PowerPoint Presentations (Beginners),11/06/2019,11/12/2019,13:30:00,15:30:00,Wednesday,2,6,12,(ITB) Digital Resilience (Non-accredited),Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,June
IT00004,Excel - Spreadsheet Software L1,09/10/2019,03/12/2019,10:00:00,12:30:00,Tuesday,2.5,12,30,(ITQ) Digital Based Qualifications,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,October
IT00005,Word Processing L1,09/11/2019,04/12/2019,10:00:00,12:30:00,Wednesday,2.5,12,30,(ITQ) Digital Based Qualifications,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,November
LD00001,"Healthy Lives, Healthy Minds",16/09/2019,09/12/2019,10:00:00,12:00:00,Monday,2,12,24,(LD) Courses for Adults with Learning Difficulties,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
LD00002,Computing for Beginners,16/09/2019,11/12/2019,10:00:00,12:00:00,Monday,2,12,24,(LD) Courses for Adults with Learning Difficulties,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
LD00003,Online Computing and the Internet for Beginners,16/09/2019,09/12/2019,13:00:00,15:00:00,Monday,2,12,24,(LD) Courses for Adults with Learning Difficulties,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
LD00004,A Healthy Approach to Cooking and Eating,19/09/2019,12/12/2019,09:30:00,12:30:00,Thursday,3,12,36,(LD) Courses for Adults with Learning Difficulties,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
LD00005,Famous Artists and Their Paintings,19/09/2019,12/12/2019,10:00:00,12:30:00,Thursday,2.5,12,30,(LD) Courses for Adults with Learning Difficulties,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
LD00006,Illustration,17/09/2019,10/12/2019,10:00:00,12:30:00,Tuesday,2.5,12,30,(LD) Courses for Adults with Learning Difficulties,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
LD00007,Making a Clock,18/09/2019,11/12/2019,10:00:00,12:30:00,Wednesday,2.5,12,30,(LD) Courses for Adults with Learning Difficulties,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
LD00008,Noisy Art,18/09/2019,11/12/2019,13:30:00,16:00:00,Thursday,2.5,12,30,(LD) Courses for Adults with Learning Difficulties,Calderdale Music Trust,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
LD00009,Seasonal Gardening,18/09/2019,11/12/2019,13:30:00,16:00:00,Wednesday,2.5,12,30,(LD) Courses for Adults with Learning Difficulties,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
LD00010,Therapeutic Art,20/09/2019,13/12/2019,13:30:00,16:00:00,Friday,2.5,12,30,(LD) Courses for Adults with Learning Difficulties,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
LD00011,Art - Five Day Offer,16/09/2019,09/12/2019,13:30:00,16:00:00,Monday,2.5,12,30,(LD) Courses for Adults with Learning Difficulties,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
LD00012,Art - Five Day Offer,20/09/2019,13/12/2019,10:00:00,12:30:00,Friday,2.5,12,30,(LD) Courses for Adults with Learning Difficulties,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
LD00013,A Healthy Approach to Baking,17/09/2019,10/12/2019,09:30:00,12:30:00,Tuesday,3,12,36,(LD) Courses for Adults with Learning Difficulties,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
LD00014,A Healthy Approach to Cooking,17/09/2019,10/12/2019,13:30:00,15:30:00,Tuesday,2,12,24,(LD) Courses for Adults with Learning Difficulties,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
LD00015,Healthy Winter Cookery,18/09/2019,11/12/2019,14:30:00,17:00:00,Wednesday,2.5,12,30,(LD) Courses for Adults with Learning Difficulties,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
LD00016,English (LD),18/09/2019,11/12/2019,10:00:00,12:00:00,Wednesday,2,12,24,(LD) Courses for Adults with Learning Difficulties,Brighouse library,"Halifax Riad, Brighouse",HD6 2AF,53.70397,-1.78604,,,,,2019,September
LD00017,Maths (LD),18/09/2019,11/12/2019,13:00:00,15:00:00,Wednesday,2,12,24,(LD) Courses for Adults with Learning Difficulties,Brighouse library,"Halifax Riad, Brighouse",HD6 2AF,53.70397,-1.78604,,,,,2019,September
LD00018,English (LD),19/09/2019,19/12/2019,13:30:00,15:30:00,Thursday,2,12,24,(LD) Courses for Adults with Learning Difficulties,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
LD00020,Drama,18/09/2019,11/12/2019,10:00:00,12:30:00,Wednesday,2.5,12,30,(LD) Courses for Adults with Learning Difficulties,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
LE00001,Bridge for Beginners,19/09/2019,09/04/2020,19:00:00,21:30:00,Thursday,2.5,30,75,(LEI) Leisure,Halifax Bridge Club,"44 Prescott St, Halifax",HX1 2QW,53.71908,-1.86115,,,,,2019,September
LE00002,Bridge for Beginners,09/11/2019,01/04/2020,19:00:00,21:00:00,Wednesday,2,30,60,(LEI) Leisure,Brighouse Bridge Club,"The Assembly Rooms, 64 Briggate, Brighouse",HD6 1EF,53.70098,-1.78231,,,,,2019,November
ML00001,Latin (Specialist Learning Group),20/09/2019,29/11/2019,10:00:00,12:00:00,Friday,2,10,20,(MFL) Languages,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
ML00002,Italian (Taster),09/12/2019,12/09/2019,10:00:00,12:00:00,Thursday,2,1,2,(MFL) Languages,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,December
ML00003,Italian (Beginners - continuation),17/09/2019,04/02/2020,10:00:00,12:00:00,Tuesday,2,18,36,(MFL) Languages,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
ML00004,Italian (Beginners),17/09/2019,04/02/2020,13:00:00,15:00:00,Tuesday,2,18,36,(MFL) Languages,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
ML00005,Italian (Improvers),16/09/2019,03/02/2020,10:00:00,12:00:00,Monday,2,18,36,(MFL) Languages,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
ML00006,Italian (Advanced),19/09/2019,06/02/2020,10:00:00,12:00:00,Thursday,2,18,36,(MFL) Languages,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
ML00007,Spanish (Beginners),16/09/2019,21/10/2019,10:00:00,12:00:00,Monday,2,6,12,(MFL) Languages,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
ML00008,Spanish (Beginners),18/09/2019,11/12/2019,18:30:00,20:30:00,Wednesday,2,12,24,(MFL) Languages,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
ML00009,Spanish (Beginners),19/09/2019,12/12/2019,13:00:00,15:00:00,Thursday,2,12,24,(MFL) Languages,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
ML00010,Spanish (Beginners),19/09/2019,12/12/2019,18:30:00,20:30:00,Thursday,2,12,24,(MFL) Languages,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
ML00011,Spanish (Improvers),17/09/2019,10/12/2019,18:30:00,20:30:00,Tuesday,2,12,24,(MFL) Languages,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
ML00012,Spanish (Improvers),18/09/2019,11/12/2019,10:00:00,12:00:00,Wednesday,2,12,24,(MFL) Languages,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
ML00013,Spanish (Advanced),18/09/2019,11/12/2019,13:00:00,15:00:00,Wednesday,2,12,24,(MFL) Languages,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
ML00014,Spanish (Specialist Learning Group),16/09/2019,25/11/2019,13:00:00,15:00:00,Monday,2,10,20,(MFL) Languages,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
ML00015,Spanish (Specialist Learning Group),17/09/2019,26/11/2019,13:00:00,15:00:00,Tuesday,2,10,20,(MFL) Languages,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
P00001,English Functional Skills (TODMORDEN),09/12/2019,30/01/2020,10:00:00,12:30:00,Thursday,2.5,18,45,(ENG) English,Todmorden Community College,"44 Burnley Rd, Todmorden",OL14 7BX,53.71587,-2.09817,,,,,2019,December
P00002,Maths Functional Skills (TODMORDEN),13/09/2019,31/01/2020,10:00:00,12:30:00,Thursday,2.5,18,45,(MAT) Maths,Todmorden Community College,"44 Burnley Rd, Todmorden",OL14 7BX,53.71587,-2.09817,,,,,2019,September
P00005,Maths Functional Skills - Fast-Track (HEATH),19/09/2019,21/11/2019,09:30:00,15:00:00,Thursday,5,9,45,(MAT) Maths,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
P00006,English Functional Skills - Fast-Track (HEATH),17/09/2019,19/11/2019,09:30:00,15:00:00,Tuesday,5,9,45,(ENG) English,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
P00007,English Functional Skills (MOUNT PELLON),09/11/2019,29/01/2020,09:30:00,12:00:00,Wednesday,2.5,18,45,(ENG) English,Mount Pellon Academy,"46 Blackwood Grove, Halifax",HX1 4RH,53.72695,-1.88438,,,,,2019,November
PP00001,Delivering Outstanding Customer Service (Quality Assured),18/09/2019,23/10/2019,13:00:00,16:00:00,Wednesday,3,6,18,(EMP) Employability,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
PP00002,Breastfeeding Peer Support Training (Locala Community Partnership),09/10/2019,26/11/2019,18:30:00,20:30:00,Tuesday,2,11,22,(TRG) Training Other,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,October
SE00001,Security,21/10/2019,25/10/2019,09:00:00,17:00:00,Monday-Friday,40,1,40,(SEC) Security,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,October
SE00002,Security,12/02/2019,06/12/2019,09:00:00,17:00:00,Monday-Friday,40,1,40,(SEC) Security,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,February
WP00001,Dyslexia Awareness,18/10/2019,25/10/2019,09:30:00,15:00:00,Friday,5,2,10,(TRG) Training Other,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,October
WP00002,Food Safety,10/09/2019,16/10/2019,09:30:00,15:00:00,Wednesday,5,2,10,(FSA) Food Safety,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
WP00003,Food Safety,20/11/2019,27/11/2019,09:30:00,15:00:00,Wednesday,5,2,10,(FSA) Food Safety,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,November
WP00004,Paediatric First Aid,09/07/2019,14/09/2019,09:30:00,16:00:00,Saturday,6,2,12,(FAT) First Aid Training,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,July
WP00005,Emergency First Aid at Work,09/09/2019,09/09/2019,09:30:00,16:00:00,Monday,6,1,6,(FAT) First Aid Training,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
WP00006,Paediatric First Aid,24/09/2019,01/10/2019,09:30:00,16:00:00,Tuesday,6,2,12,(FAT) First Aid Training,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
WP00007,Paediatric First Aid,10/03/2019,10/10/2019,09:30:00,16:00:00,Thursday,6,2,12,(FAT) First Aid Training,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,March
WP00008,Emergency First Aid at Work,10/07/2019,07/10/2019,09:30:00,16:00:00,Monday,6,1,6,(FAT) First Aid Training,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,July
WP00009,Paediatric First Aid,10/12/2019,19/10/2019,09:30:00,16:00:00,Saturday,6,2,12,(FAT) First Aid Training,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,December
WP00010,Emergency First Aid at Work,15/10/2019,15/10/2019,09:30:00,16:00:00,Tuesday,6,1,6,(FAT) First Aid Training,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,October
WP00011,First Aid at Work (Requalification),11/04/2019,11/11/2019,09:30:00,16:00:00,Monday,6,2,12,(FAT) First Aid Training,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,April
WP00012,Paediatric First Aid,11/05/2019,12/11/2019,09:30:00,16:00:00,Tuesday,6,2,12,(FAT) First Aid Training,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,May
WP00013,Paediatric First Aid,11/09/2019,16/11/2019,09:30:00,16:00:00,Saturday,6,2,12,(FAT) First Aid Training,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
WP00014,Paediatric First Aid,19/11/2019,26/11/2019,09:30:00,16:00:00,Tuesday,6,2,12,(FAT) First Aid Training,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,November
WP00015,Paediatric First Aid,21/11/2019,28/11/2019,09:30:00,16:00:00,Thursday,6,2,12,(FAT) First Aid Training,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,November
WP00016,Paediatric First Aid,12/07/2019,14/12/2019,09:30:00,16:00:00,Saturday,6,2,12,(FAT) First Aid Training,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,July
WP00017,Emergency First Aid at Work,12/09/2019,09/12/2019,09:30:00,16:00:00,Monday,6,1,6,(FAT) First Aid Training,Heath (CAL),"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,,,,,2019,September
AC00009,Drawing & Painting ,01/07/2020,31/03/2020,13:00:00,15:00:00,,,12,24,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Advanced,Heath (CAL),139.2,111.36,2020,July
AC00010,Drawing & Painting ,01/09/2020,02/04/2020,18:03:00,20:03:00,,,12,24,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Advanced,Heath (CAL),139.2,111.36,2020,September
AC00011,Painting (Watercolours) ,01/10/2020,03/04/2020,10:00:00,12:00:00,,,12,24,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Advanced,Heath (CAL),139.2,111.36,2020,October
AC00012,Drawing & Painting ,01/08/2020,01/04/2020,13:00:00,15:00:00,,,12,24,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Beginners,Heath (CAL),91.2,72.96,2020,August
AC00013,Sewing (Machine Skills) ,01/09/2020,02/04/2020,18:00:00,20:03:00,,,12,30,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Beginners,Heath (CAL),114,91.2,2020,September
AC00014,Sewing (Machine Skills) ,01/08/2020,01/04/2020,09:03:00,12:00:00,,,12,30,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Improvers,Heath (CAL),144,115.2,2020,August
AC00015,Sewing (Modern Dress Making),01/09/2020,02/04/2020,09:03:00,12:00:00,,,12,30,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Improvers,Heath (CAL),144,115.2,2020,September
AC00016,Painting (Oils) ,01/09/2020,02/04/2020,13:00:00,15:00:00,,,12,24,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Specialised,Heath (CAL),204,163.2,2020,September
AC00017,Sewing (Machine Skills) ,22/04/2020,15/07/2020,09:03:00,12:00:00,,,12,30,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Advanced,Heath (CAL),174,139.2,2020,April
AC00019,Drawing & Sketching,21/04/2020,30/06/2020,13:00:00,15:00:00,,,10,20,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Beginners,Heath (CAL),76,60.8,2020,April
AC00021,Painting (Watercolours),24/04/2020,03/07/2020,10:00:00,12:00:00,,,9,18,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Beginners,Heath (CAL),68.4,54.72,2020,April
AC00022,Drawing & Painting,23/04/2020,02/07/2020,18:00:00,20:00:00,,,10,20,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Beginners,Heath (CAL),76,60.8,2020,April
AC00023,Drawing & Painting,22/04/2020,01/07/2020,13:00:00,15:00:00,,,10,20,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Improvers,Heath (CAL),96,76.8,2020,April
AC00024,Sewing (Machine Skills) ,23/04/2020,16/07/2020,18:00:00,20:03:00,,,12,30,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Improvers,Heath (CAL),144,115.2,2020,April
CC00007,Super Speaking and Listening (ESOL),01/07/2020,31/03/2020,18:03:00,20:03:00,,,12,24,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Entry 2/3,Heath (CAL),75,60,2020,July
CC00008,ESOL Reading & Writing for Beginners ,01/08/2020,01/04/2020,13:00:00,15:00:00,,,12,24,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Pre-Entry/E1,Heath (CAL),75,60,2020,August
CC00009,Super Speaking and Listening (ESOL),21/04/2020,14/07/2020,18:03:00,20:03:00,,,12,24,,,"Free School Ln, Halifax",HX1 2PS,53.71241,-1.86307,Entry 2/3,Heath (CAL),75,60,2020,April
